Authors;Title;Source title;DOI;Link;Abstract
"Aldrighetti, R.; Calzavara, M.; Martignago, M.; Zennaro, I.; Daria, D.; Ivanov, D.";A methodological framework for the design of efficient resilience in supply networks;International Journal of Production Research;10.1080/00207543.2023.2285424;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178467122&doi=10.1080%2F00207543.2023.2285424&partnerID=40&md5=43490042718dfbc7d005426f0eb768ad;Disruptions can adversely affect profitability, service level, and even the viability of supply networks (SNs). Natural disasters, the COVID-19 pandemic, and geopolitical tensions heightened disruption risks for SNs. We propose a methodological framework to guide the design of resilient SNs, with a focus on efficient resilience. In fact, despite an increasing economic and social interest in SN resilience and a large variety of qualitative resilience frameworks, there is a lack of model-based frameworks to guide decision makers in the complex task of designing resilient SNs. Differently to the existing literature, that mostly focuses on industry- or disruption-specific approaches, the framework of this paper is general, independent from sectors and causes. It consists of three steps to guide practitioners through model-based stress testing of their SNs: it integrates and organises methods from the literature, from the selection of data to be collected to the validation of the resilient and efficient SN. We illustrate the application of descriptive, predictive, and prescriptive analytics at each phase using real-life case studies data supplemented by literature references. Finally, we present an industrial case study with the step-by-step application of the framework highlighting its strengths and objectives. © 2023 Informa UK Limited, trading as Taylor & Francis Group.
"Sabouhi, F.; Jabalameli, M.S.; Jabbarzadeh, A.; Fahimnia, B.";A multi-cut L-shaped method for resilient and responsive supply chain network design;International Journal of Production Research;10.1080/00207543.2020.1779369;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088460024&doi=10.1080%2F00207543.2020.1779369&partnerID=40&md5=5cd4cf107854a3faa877f075cd2afbb0;We present a stochastic optimisation model that can be used to design a resilient supply chain operating under random disruptions. The model aims to determine sourcing and network design decisions that minimise the expected total cost while ensuring that the minimum customer service level is achieved. The proposed model incorporates several resilience strategies including multiple sourcing, multiple transport routes, considering backup suppliers, adding extra production capacities, as well as lateral transshipment and direct shipment. A multi-cut L-shaped solution approach is developed to solve the proposed model. Data from a real case problem in the paint industry is utilised to test the model and solution approach. Important managerial insights are obtained from the case study. Our analyses focus on (1) exploring the relationship between supply chain cost and customer service level, (2) examining the impacts of different types of disruptions on the total cost, (3) evaluating the utility of resilience strategies, (4) investigating the benefits of the proposed solution approach to solve problems of different sizes and (5) benchmarking the performance of the proposed stochastic programming approach. © 2020, © 2020 Informa UK Limited, trading as Taylor & Francis Group.
"Kioskli, K.; Grigoriou, E.; Islam, S.; Yiorkas, A.M.; Christofi, L.; Mouratidis, H.";A risk and conformity assessment framework to ensure security and resilience of healthcare systems and medical supply chain;International Journal of Information Security;10.1007/s10207-025-01009-z;https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000265924&doi=10.1007%2Fs10207-025-01009-z&partnerID=40&md5=080195ff2b18522320f31c5231d14180;In recent years, the healthcare sector has undergone a significant digital transformation, driven by the rise of the Internet of Medical Things and the exponential use of connected medical devices in healthcare service delivery. This transformation offers numerous benefits, including enhanced patient data collection, processing, and informed treatment decisions. Despite these advantages, digital adoption brings several security challenges that pose considerable risks to overall healthcare service delivery. Additionally, connected medical devices must comply with sector-specific regulatory requirements to ensure trustworthiness and facilitate their broader adoption in the healthcare sector. There is, therefore, a pressing need to understand and manage these risks and compliance issues to secure and strengthen the resilience of healthcare systems. This work addresses these needs by introducing a novel Risk and Conformity Assessment Framework and Certification Scheme, implemented within an agile Information Security Management System context to enhance the security and resilience of healthcare systems. The framework leverages Artificial Intelligence (AI) in risk management practices, improving security assessments, risk prediction, security control implementation, and continuous monitoring. AI algorithms analyze large data volumes from various sources, enabling efficient processing and the identification of potential risk patterns. Additionally, AI-driven automation tools ensure consistent deployment of security controls, while continuous AI monitoring detects abnormal activities and enables rapid response to security incidents. The proposed Cybersecurity Certification Scheme incorporates AI-based security assessments into the certification process, facilitating efficient conformity assurance. This scheme also promotes a collaborative approach with relevant regulatory bodies to achieve compliance. While this work introduces a conceptual framework, its implementation and potential refinements remain subjects for future research. Further studies are necessary to validate its effectiveness, enhance its components, and evaluate its practical application in real-world healthcare environments. © The Author(s) 2025.
"Arabi, M.; Reza Gholamian, M.; Teimoury, E.; Mirzamohammadi, S.";A robust bi-level programming model to enhance resilience in supply chain network considering government role, taxing, and raw sale: An iron ore case study;Computers and Industrial Engineering;10.1016/j.cie.2024.110322;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196866923&doi=10.1016%2Fj.cie.2024.110322&partnerID=40&md5=a9fee18625ae031e5623a0009536e94d;The mining industry plays a substantial role in any economy because of its enormous influence on other sections of a country. Despite the significant challenges in this industry, such as government regulations, taxing policies, raw material sales, and disruptions, there are rare studies that have considered mining supply chain network design. Thus, this paper proposes a mixed-integer linear bi-level programming model under operational and disruption risks to design a robust and resilient mining supply chain network. The government is considered as the leader that aims to decrease the sales of raw materials, boost the export of final products, and maximize its profit. Moreover, the closed-loop mining supply chain is introduced as the follower level that maximizes the total profit. In other words, this study presents a bi-level model that balances the export of raw materials and final products, for the first time. Additionally, a data envelopment analysis approach is applied to rank the candidate mine areas and reduce the model's complexity. Finally, a real-world case study of the Iranian iron ore supply chain is applied to demonstrate the efficiency and applicability of the addressed model. The results indicate that the effect of raw material price on the upper level is 22% higher than the lower level under the same conditions. Moreover, the exchange rate has a great impact on the objective functions of both levels. Furthermore, Yazd province has great potential to be introduced as a steel pole in Iran. © 2024 Elsevier Ltd
"Habib, M.S.; Omair, M.; Ramzan, M.B.; Nawaz Chaudhary, T.N.; Farooq, M.; Sarkar, B.";A robust possibilistic flexible programming approach toward a resilient and cost-efficient biodiesel supply chain network;Journal of Cleaner Production;10.1016/j.jclepro.2022.132752;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133604986&doi=10.1016%2Fj.jclepro.2022.132752&partnerID=40&md5=597b620393a89abcf9e5d636a7534839;Increasing energy demand and the fast depletion of fossil fuels have prompted the quest for sustainable energy sources. Biodiesel is a potential fossil fuel replacement that can be used in engines without modification. However, the commercial feasibility of biodiesel production is a major challenge. A resilient and cost-efficient biodiesel supply chain network is essential for commercialization. In addition, disruption risks arising from operational downtime, labor strikes, natural disasters, and uncertainty embedded in the data compromise the effectiveness of tactical and strategic level supply chain planning. In line with these requirements, an animal fat-based biodiesel supply chain model that reduces the total system cost and accounts for both disruption and operational risks is proposed. The proposed model determines the optimal production–distribution quantities and supports facility location and capacity decisions against multiple supply and demand interruption scenarios. A novel interactive solution technique, robust possibilistic flexible programming, which enables decision-makers to incorporate flexibility into model constraints, has been introduced. Furthermore, a p-measure constraint that ensures the lowest cost under disruption scenarios is used to control network reliability. A real-world case study is used to assess the suggested model and solution technique's applicability. The findings demonstrate a tradeoff between system reliability and nominal cost, showing that with a marginal increase in overall cost, the decisions can be secured against an uncertain environment. Biodiesel producers and distributors, as well as investors and regulators, may potentially benefit from the proposed model. © 2022 Elsevier Ltd
"Chen, X.; Xi, Z.; Jing, P.";A unified framework for evaluating supply chain reliability and resilience;IEEE Transactions on Reliability;10.1109/TR.2017.2737822;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028729578&doi=10.1109%2FTR.2017.2737822&partnerID=40&md5=242cca178fa71240f9826d560b141d51;"As the complexity of supply chain structures and the frequency of their disruptions rise, businesses are increasingly recognizing the value of supply chain reliability and resilience (SCRR). A number of efforts have been devoted to define SCRR or to develop risk mitigation strategies for their improvement. However, a key question remaining to be answered is how SCRR should be quantified. Existing methods are insufficient in addressing this question on two important fronts: First, they do not adequately represent the interdependencies between different supply chain nodes; second, they do not allow for the modeling of actionable decisions and thus cannot be used to guide improvement strategies. This paper aims to fill this gap by proposing a unified framework for evaluating SCRR that internalizes design inputs and is flexible to varying degrees of data availability. The proposed framework captures risks involved in the supply, the demand, the firm itself, and the external environment. It also contributes to the literature by relating SCRR to the supply chain’s risk-mitigating capabilities prior to or postdisruptions. A novel method using the supply chain’s inherent buyer–supplier relationships is designed to model node interdependencies. Two example applications are discussed to demonstrate how this framework can be utilized to assist in reliable and resilient supply chain design. © 2017 IEEE."
"Bierkandt, R.; Wenz, L.; Willner, S.N.; Levermann, A.";Acclimate—a model for economic damage propagation. Part 1: basic formulation of damage transfer within a global supply network and damage conserving dynamics;Environment Systems and Decisions;10.1007/s10669-014-9523-4;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84912103181&doi=10.1007%2Fs10669-014-9523-4&partnerID=40&md5=15cce45620a39e772509940dbe31a42d;Climate extremes are expected to become more frequent and intense under future warming. In a globalized economy, outages of productive capital and infrastructure have the potential to spread around the world. In order to address those repercussions in the framework of a risk analysis or a resilience strategy, a disaster’s indirect consequences on the economic supply network need to be understood. We developed a numerical model to simulate these indirect effects along global supply chains for time scales of days to months. This article is the first in a series of four, which describes the damage-propagation model. In this first paper, we describe the pure damage propagation within the network and focus on the fundamental propagation of supply failure between production sites including their input and output storages and transport-related time delay. Idealized examples are presented to illustrate the dynamic damage propagation. Further articles will extend the dynamics to include demand changes due to the perturbation in the supply, the possibility to extend production to compensate for production failure, price responses and adaptive changes in the economic supply network. The underlying global supply network is based on data from multi-regional input–output tables. Transportation times are derived from geographic distances. In the initial model version presented here, indirect production losses are caused by cascading effects. They are propagated within the network without significant reduction in loss (damage conservation). They can thus be observed within the different storages or they “leak out” of the system through reduced consumption of the final consumer. As an example, we investigate the cascading behavior of losses for the machinery sector in Japan. © 2014, Springer Science+Business Media New York.
"Bassiouni, M.M.; Chakrabortty, R.K.; Hussain, O.K.; Rahman, H.F.";Advanced deep learning approaches to predict supply chain risks under COVID-19 restrictions;Expert Systems with Applications;10.1016/j.eswa.2022.118604;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136543366&doi=10.1016%2Fj.eswa.2022.118604&partnerID=40&md5=ceb321f1f6a060d195e3910d9d472cd0;The ongoing COVID-19 pandemic has created an unprecedented predicament for global supply chains (SCs). Shipments of essential and life-saving products, ranging from pharmaceuticals, agriculture, and healthcare, to manufacturing, have been significantly impacted or delayed, making the global SCs vulnerable. A better understanding of the shipment risks can substantially reduce that nervousness. Thenceforth, this paper proposes a few Deep Learning (DL) approaches to mitigate shipment risks by predicting ”if a shipment can be exported from one source to another”, despite the restrictions imposed by the COVID-19 pandemic. The proposed DL methodologies have four main stages: data capturing, de-noising or pre-processing, feature extraction, and classification. The feature extraction stage depends on two main variants of DL models. The first variant involves three recurrent neural networks (RNN) structures (i.e., long short-term memory (LSTM), Bidirectional long short-term memory (BiLSTM), and gated recurrent unit (GRU)), and the second variant is the temporal convolutional network (TCN). In terms of the classification stage, six different classifiers are applied to test the entire methodology. These classifiers are SoftMax, random trees (RT), random forest (RF), k-nearest neighbor (KNN), artificial neural network (ANN), and support vector machine (SVM). The performance of the proposed DL models is evaluated based on an online dataset (taken as a case study). The numerical results show that one of the proposed models (i.e., TCN) is about 100% accurate in predicting the risk of shipment to a particular destination under COVID-19 restrictions. Unarguably, the aftermath of this work will help the decision-makers to predict supply chain risks proactively to increase the resiliency of the SCs. © 2022 Elsevier Ltd
"Ishrat, M.; Khan, W.; Faisal, S.M.";AI and risk forecasting: Leveraging AI for environmental, social, and governance compliance;;10.4018/979-8-3373-1200-2.ch015;https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004405288&doi=10.4018%2F979-8-3373-1200-2.ch015&partnerID=40&md5=55ba5f14948d74afb48e90cff3037815;This chapter examines the transformative potential of Artificial Intelligence (AI) in risk forecasting, emphasizing its critical role in predicting and mitigating risks across industries and domains. By leveraging AI techniques such as machine learning, natural language processing, and neural networks, organizations can proactively identify emerging risks, optimize decision-making, and enhance resilience. The chapter explores various applications of AI in risk forecasting, including financial risk prediction, disaster management, cybersecurity threats, and supply chain disruptions. Through real-world case studies, it highlights how AI can enhance risk assessment methodologies and enable organizations to act preemptively in volatile and uncertain environments. Furthermore, the chapter addresses challenges like data privacy, algorithmic bias, and ethical implications while proposing actionable solutions and future directions for integrating AI into comprehensive risk management frameworks. © 2025 by IGI Global Scientific Publishing.
"Modgil, S.; Gupta, S.; Stekelorum, R.; Laguir, I.";AI technologies and their impact on supply chain resilience during -19;International Journal of Physical Distribution and Logistics Management;10.1108/IJPDLM-12-2020-0434;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108169149&doi=10.1108%2FIJPDLM-12-2020-0434&partnerID=40&md5=2e756233ed74d556f933e98b7fdf9e46;Purpose: COVID-19 has pushed many supply chains to re-think and strengthen their resilience and how it can help organisations survive in difficult times. Considering the availability of data and the huge number of supply chains that had their weak links exposed during COVID-19, the objective of the study is to employ artificial intelligence to develop supply chain resilience to withstand extreme disruptions such as COVID-19. Design/methodology/approach: We adopted a qualitative approach for interviewing respondents using a semi-structured interview schedule through the lens of organisational information processing theory. A total of 31 respondents from the supply chain and information systems field shared their views on employing artificial intelligence (AI) for supply chain resilience during COVID-19. We used a process of open, axial and selective coding to extract interrelated themes and proposals that resulted in the establishment of our framework. Findings: An AI-facilitated supply chain helps systematically develop resilience in its structure and network. Resilient supply chains in dynamic settings and during extreme disruption scenarios are capable of recognising (sensing risks, degree of localisation, failure modes and data trends), analysing (what-if scenarios, realistic customer demand, stress test simulation and constraints), reconfiguring (automation, re-alignment of a network, tracking effort, physical security threats and control) and activating (establishing operating rules, contingency management, managing demand volatility and mitigating supply chain shock) operations quickly. Research limitations/implications: As the present research was conducted through semi-structured qualitative interviews to understand the role of AI in supply chain resilience during COVID-19, the respondents may have an inclination towards a specific role of AI due to their limited exposure. Practical implications: Supply chain managers can utilise data to embed the required degree of resilience in their supply chains by considering the proposed framework elements and phases. Originality/value: The present research contributes a framework that presents a four-phased, structured and systematic platform considering the required information processing capabilities to recognise, analyse, reconfigure and activate phases to ensure supply chain resilience. © 2021, Emerald Publishing Limited.
